epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,14646.2,0.71849,0.57896,0.9045,0.70896,0.64824,0.67376,0.49728,1.01537,0.86376,0.99341,3.11268e-05,3.11268e-05,3.11268e-05
138,1271.41,0.73147,0.59101,0.9122,0.7091,0.64874,0.67374,0.49705,1.01579,0.86386,0.99369,2.82345e-05,2.82345e-05,2.82345e-05
139,2532.15,0.73521,0.59068,0.91287,0.71208,0.64602,0.67338,0.49687,1.01632,0.8643,0.99399,2.55513e-05,2.55513e-05,2.55513e-05
140,3781.15,0.75092,0.60147,0.91816,0.7106,0.64675,0.67333,0.49652,1.01684,0.86474,0.99424,2.30784e-05,2.30784e-05,2.30784e-05
141,5030.97,0.75897,0.60941,0.92227,0.71031,0.64657,0.67319,0.49661,1.01734,0.86506,0.99456,2.08169e-05,2.08169e-05,2.08169e-05
142,6281.03,0.75991,0.61149,0.92257,0.71055,0.64639,0.67286,0.49635,1.01781,0.86541,0.99478,1.87678e-05,1.87678e-05,1.87678e-05
143,7539.59,0.76796,0.61781,0.92465,0.71162,0.64543,0.67303,0.49629,1.01802,0.86578,0.99475,1.6932e-05,1.6932e-05,1.6932e-05
144,8809.34,0.77331,0.62345,0.92728,0.71194,0.64537,0.67285,0.49605,1.01833,0.86592,0.99482,1.53102e-05,1.53102e-05,1.53102e-05
145,10051.4,0.77431,0.62316,0.92759,0.71256,0.64513,0.67301,0.49615,1.01847,0.86606,0.99491,1.39032e-05,1.39032e-05,1.39032e-05
146,11320.7,0.78178,0.62865,0.92996,0.71127,0.6464,0.6727,0.49633,1.01856,0.86623,0.99494,1.27117e-05,1.27117e-05,1.27117e-05
147,12568.2,0.7857,0.63215,0.93184,0.71171,0.64613,0.67302,0.49615,1.01854,0.86622,0.99484,1.1736e-05,1.1736e-05,1.1736e-05
148,13812.1,0.79252,0.63962,0.93432,0.71274,0.646,0.6729,0.49605,1.01848,0.86624,0.99466,1.09768e-05,1.09768e-05,1.09768e-05
149,1232.67,0.72766,0.58851,0.91111,0.7126,0.64604,0.67302,0.49606,1.01855,0.86637,0.99474,1.04342e-05,1.04342e-05,1.04342e-05
150,2433.68,0.73165,0.58848,0.91175,0.71306,0.64567,0.67263,0.49577,1.0192,0.86681,0.99512,1.01086e-05,1.01086e-05,1.01086e-05
